kdKasus;tgl;terkonfirmasi;sembuh;meninggal;dirawat;kdDaerah
1;2020-03-02;0;0;0;0;Bengkulu
2;2020-03-03;0;0;0;0;Bengkulu
3;2020-03-04;0;0;0;0;Bengkulu
4;2020-03-05;0;0;0;0;Bengkulu
5;2020-03-06;0;0;0;0;Bengkulu
6;2020-03-07;0;0;0;0;Bengkulu
7;2020-03-08;0;0;0;0;Bengkulu
8;2020-03-09;0;0;0;0;Bengkulu
9;2020-03-10;0;0;0;0;Bengkulu
10;2020-03-11;0;0;0;0;Bengkulu
11;2020-03-12;0;0;0;0;Bengkulu
12;2020-03-13;0;0;0;0;Bengkulu
13;2020-03-14;0;0;0;0;Bengkulu
14;2020-03-15;0;0;0;0;Bengkulu
15;2020-03-16;0;0;0;0;Bengkulu
16;2020-03-17;0;0;0;0;Bengkulu
17;2020-03-18;0;0;0;0;Bengkulu
18;2020-03-19;0;0;0;0;Bengkulu
19;2020-03-20;0;0;0;0;Bengkulu
20;2020-03-21;0;0;0;0;Bengkulu
21;2020-03-22;0;0;0;0;Bengkulu
22;2020-03-23;0;0;0;0;Bengkulu
23;2020-03-24;0;0;0;0;Bengkulu
24;2020-03-25;0;0;0;0;Bengkulu
25;2020-03-26;0;0;0;0;Bengkulu
26;2020-03-27;0;0;0;0;Bengkulu
27;2020-03-28;0;0;0;0;Bengkulu
28;2020-03-29;0;0;0;0;Bengkulu
29;2020-03-30;0;0;0;0;Bengkulu
30;2020-03-31;1;0;1;0;Bengkulu
31;2020-04-01;0;0;0;0;Bengkulu
32;2020-04-02;0;0;0;0;Bengkulu
33;2020-04-03;1;0;0;1;Bengkulu
34;2020-04-04;0;0;0;0;Bengkulu
35;2020-04-05;0;0;0;0;Bengkulu
36;2020-04-06;0;0;0;0;Bengkulu
37;2020-04-07;0;0;0;0;Bengkulu
38;2020-04-08;0;0;0;0;Bengkulu
39;2020-04-09;2;0;0;2;Bengkulu
40;2020-04-10;0;0;0;0;Bengkulu
41;2020-04-11;0;0;0;0;Bengkulu
42;2020-04-12;0;0;0;0;Bengkulu
43;2020-04-13;0;0;0;0;Bengkulu
44;2020-04-14;0;0;0;0;Bengkulu
45;2020-04-15;0;0;0;0;Bengkulu
46;2020-04-16;0;0;0;0;Bengkulu
47;2020-04-17;0;0;0;0;Bengkulu
48;2020-04-18;0;0;0;0;Bengkulu
49;2020-04-19;0;0;0;0;Bengkulu
50;2020-04-20;0;0;0;0;Bengkulu
51;2020-04-21;4;1;0;3;Bengkulu
52;2020-04-22;0;0;0;0;Bengkulu
53;2020-04-23;0;0;0;0;Bengkulu
54;2020-04-24;0;0;0;0;Bengkulu
55;2020-04-25;0;0;0;0;Bengkulu
56;2020-04-26;0;0;0;0;Bengkulu
57;2020-04-27;0;0;0;0;Bengkulu
58;2020-04-28;0;0;0;0;Bengkulu
59;2020-04-29;4;0;0;4;Bengkulu
60;2020-04-30;0;0;0;0;Bengkulu
61;2020-05-01;0;0;0;0;Bengkulu
62;2020-05-02;0;0;0;0;Bengkulu
63;2020-05-03;0;0;0;0;Bengkulu
64;2020-05-04;0;0;0;0;Bengkulu
65;2020-05-05;0;0;0;0;Bengkulu
66;2020-05-06;2;0;0;2;Bengkulu
67;2020-05-07;0;0;0;0;Bengkulu
68;2020-05-08;0;0;0;0;Bengkulu
69;2020-05-09;23;0;0;23;Bengkulu
70;2020-05-10;0;0;0;0;Bengkulu
71;2020-05-11;0;0;0;0;Bengkulu
72;2020-05-12;3;0;0;3;Bengkulu
73;2020-05-13;0;0;0;0;Bengkulu
74;2020-05-14;2;0;1;1;Bengkulu
75;2020-05-15;11;0;0;11;Bengkulu
76;2020-05-16;3;0;0;3;Bengkulu
77;2020-05-17;9;0;0;9;Bengkulu
78;2020-05-18;1;0;0;1;Bengkulu
79;2020-05-19;1;0;0;1;Bengkulu
80;2020-05-20;0;0;0;0;Bengkulu
81;2020-05-21;2;2;0;0;Bengkulu
82;2020-05-22;0;6;0;-6;Bengkulu
83;2020-05-23;0;0;0;0;Bengkulu
84;2020-05-24;0;0;0;0;Bengkulu
85;2020-05-25;0;0;0;0;Bengkulu
86;2020-05-26;0;0;0;0;Bengkulu
87;2020-05-27;0;5;0;-5;Bengkulu
88;2020-05-28;2;0;0;2;Bengkulu
89;2020-05-29;1;6;0;-5;Bengkulu
90;2020-05-30;14;2;0;12;Bengkulu
91;2020-05-31;5;0;0;5;Bengkulu
92;2020-06-01;0;0;0;0;Bengkulu
93;2020-06-02;1;3;0;-2;Bengkulu
94;2020-06-03;0;0;0;0;Bengkulu
95;2020-06-04;0;0;0;0;Bengkulu
96;2020-06-05;0;0;1;-1;Bengkulu
97;2020-06-06;0;12;1;-13;Bengkulu
98;2020-06-07;0;3;0;-3;Bengkulu
99;2020-06-08;0;0;0;0;Bengkulu
100;2020-06-09;0;6;0;-6;Bengkulu
101;2020-06-10;0;1;0;-1;Bengkulu
102;2020-06-11;0;1;0;-1;Bengkulu
103;2020-06-12;3;1;0;2;Bengkulu
104;2020-06-13;3;9;1;-7;Bengkulu
105;2020-06-14;3;0;1;2;Bengkulu
106;2020-06-15;0;4;0;-4;Bengkulu
107;2020-06-16;3;1;0;2;Bengkulu
108;2020-06-17;1;2;0;-1;Bengkulu
109;2020-06-18;0;0;0;0;Bengkulu
110;2020-06-19;2;3;2;-3;Bengkulu
111;2020-06-20;9;3;0;6;Bengkulu
112;2020-06-21;0;1;0;-1;Bengkulu
113;2020-06-22;0;0;0;0;Bengkulu
114;2020-06-23;2;0;1;1;Bengkulu
115;2020-06-24;0;1;1;-2;Bengkulu
116;2020-06-25;2;5;0;-3;Bengkulu
117;2020-06-26;4;10;0;-6;Bengkulu
118;2020-06-27;1;1;0;0;Bengkulu
119;2020-06-28;0;0;0;0;Bengkulu
120;2020-06-29;0;0;1;-1;Bengkulu
121;2020-06-30;0;0;1;-1;Bengkulu
122;2020-07-01;4;1;0;3;Bengkulu
123;2020-07-02;1;1;0;0;Bengkulu
124;2020-07-03;6;3;0;3;Bengkulu
125;2020-07-04;1;0;1;0;Bengkulu
126;2020-07-05;4;1;0;3;Bengkulu
127;2020-07-06;0;0;0;0;Bengkulu
128;2020-07-07;3;1;0;2;Bengkulu
129;2020-07-08;7;2;0;5;Bengkulu
130;2020-07-09;4;0;1;3;Bengkulu
131;2020-07-10;3;3;0;0;Bengkulu
132;2020-07-11;4;1;0;3;Bengkulu
133;2020-07-12;1;0;0;1;Bengkulu
134;2020-07-13;0;1;0;-1;Bengkulu
135;2020-07-14;5;1;0;4;Bengkulu
136;2020-07-15;2;1;0;1;Bengkulu
137;2020-07-16;1;1;0;0;Bengkulu
138;2020-07-17;2;1;0;1;Bengkulu
139;2020-07-18;6;0;0;6;Bengkulu
140;2020-07-19;2;3;0;-1;Bengkulu
141;2020-07-20;0;0;1;-1;Bengkulu
142;2020-07-21;0;0;1;-1;Bengkulu
143;2020-07-22;4;1;0;3;Bengkulu
144;2020-07-23;10;5;0;5;Bengkulu
145;2020-07-24;1;1;0;0;Bengkulu
146;2020-07-25;4;0;0;4;Bengkulu
147;2020-07-26;0;0;0;0;Bengkulu
148;2020-07-27;0;0;0;0;Bengkulu
149;2020-07-28;0;0;0;0;Bengkulu
150;2020-07-29;0;0;0;0;Bengkulu
